"GameMonth","PtsFor","PtsAgainst","Attendance","PtsForAdj","PtsAgainstAdj"
"August/September",14,52,106811,14,52
"August/September",66,0,25861,46.2,1e-05
"August/September",20,21,21836,14,14.7
"August/September",14,34,24535,9.8,23.8
"October",21,47,24215,14.7,32.9
"October",48,55,26058,33.6,38.5
"October",53,14,15664,37.1,9.8
"November",44,0,22643,30.8,1e-05
"November",31,29,20497,21.7,20.3
"November",37,32,20016,25.9,22.4
"November",35,16,20638,24.5,11.2
"November",45,28,19721,31.5,19.6
"August/September",49,0,24314,34.3,1e-05
"August/September",10,41,81467,10,41
"August/September",49,0,20118,34.3,1e-05
"October",31,13,19345,21.7,9.1
"October",37,3,10101,25.9,2.1
"October",59,14,11767,41.3,9.8
"October",31,13,24121,21.7,9.1
"October",44,41,26130,30.8,28.7
"November",27,40,18721,18.9,28
"November",47,20,10113,32.9,14
"November",28,7,16124,19.6,4.9
"December/January",34,27,12346,23.8,18.9
"December/January",31,29,21395,21.7,20.3
"August/September",13,20,100074,13,20
"August/September",31,7,23374,21.7,4.9
"August/September",10,45,34658,7,31.5
"August/September",45,38,15381,31.5,26.6
"October",17,3,24782,11.9,2.1
"October",24,0,16960,16.8,1e-05
"October",37,19,26931,25.9,13.3
"October",34,10,23474,23.8,7
"November",35,10,28472,24.5,7
"November",24,28,25782,16.8,19.6
"November",42,17,18699,29.4,11.9
"November",37,7,5366,25.9,4.9
"December/January",31,28,0,21.7,19.6
"August/September",10,31,92746,10,31
"August/September",54,7,20109,37.8,4.9
"August/September",20,13,19520,14,9.1
"August/September",19,20,35126,13.3,14
"October",45,31,22787,31.5,21.7
"October",23,20,10168,16.1,14
"October",37,29,30179,25.9,20.3
"October",27,30,11889,18.9,21
"November",45,52,7397,31.5,36.4
"November",27,6,23110,18.9,4.2
"November",31,10,13154,21.7,7
"December/January",63,14,23411,44.1,9.8
"December/January",34,0,28706,23.8,1e-05
"August/September",38,45,105232,38,45
"August/September",45,9,19151,31.5,6.3
"August/September",72,7,21084,50.4,4.9
"August/September",52,7,25862,36.4,4.9
"October",35,9,21421,24.5,6.3
"October",27,17,27082,18.9,11.9
"October",14,34,19252,9.8,23.8
"November",23,7,13004,16.1,4.9
"November",38,7,11482,26.6,4.9
"November",45,17,22315,31.5,11.9
"November",21,10,20410,14.7,7
"December/January",30,19,14963,21,13.3
"December/January",45,13,23942,31.5,9.1
